CLAVE,agriculture,business_support,construction,entertainment,finance,hospitality,management,manufacturing,media,mining,other_services,professional_services,real_estate,retail,transport,wholesale,micro_firms,small_firms,medium_firms,big_firms
15112,0.009083069847657374,0.018420044073967613,3.912363067292645e-4,0.014814282520519945,0.00787502794545048,0.10487608188815432,0,0.13314330427006482,0.004626169716712977,0.0018028807767238352,0.11946839768771358,0.012654498419085943,0.009831209479096803,0.5170906390725304,0.0027043211650857523,0.043218836830506854,94.195,5.505,0.29500000000000004,0
15113,0.002493020887136592,0.017871652639434757,0.0011285098701269126,0.013593614305809871,0.00587855049751733,0.1329385144555878,0,0.09362258655186798,0.0033014283244850156,0.0017687147356838908,0.14540361889127076,0.013677715591705594,0.005306144207051673,0.5083050666754995,0.0056262466398301625,0.049084615726992215,95.91499999999999,3.615,0.35,0.11
15114,0.0027839643652561247,0.023549650564472772,0,0.01469165194685508,0.019411719529990018,0.10687197603870671,0,0.07330005375931188,0.00511865448122264,0.002360033791567468,0.10806773673296982,0.008592274018892558,0.005542585054911297,0.5001236464173259,0.0069218953997388834,0.1226641578987789,96.025,3.075,0.71,0.14
15115,1.8839487565938207e-4,0.03433567754993318,0.0013735669549045926,0.024066489974985845,0.005819669758500049,0.08876797394442766,0,0.09915018218280466,0.002020955819816116,0,0.1437482172819815,0.015626448331343412,0.015222257167380187,0.5358377140359305,0.0030965222484834903,0.030745929873849425,96.47999999999999,3.19,0.265,0.065
15116,0,0.017552936667624797,0,0.035105873335249595,0.013164702500718597,0.142464309667529,0,0.07490658235125036,0.013164702500718597,0,0.1368496694452429,0.004081632653061225,0.008776468333812399,0.5012743125419181,0.004388234166906199,0.048270575835968194,98.50999999999999,1.49,0,0
15117,0,0.012199071575083667,0.0014124293785310734,0.010606714887185578,0.004417215444960236,0.10763251646334882,0,0.10657994170355177,0.004417215444960236,0.0030047860664291627,0.14528230594839686,0.009014358199287488,0.016436359710676886,0.5613282233977472,0.00423728813559322,0.013431573644247723,98.18,1.38,0.14,0.30000000000000004
15118,8.349136018234807e-4,0.025443138589788188,0.0012621077146553875,0.013547577325901023,0.0042628276222266125,0.09789214941435208,0,0.10317552337071303,0.0013304768333724567,5.340966086778353e-4,0.14392557371481385,0.010448652558024518,0.010400173933699589,0.5559656012791894,0.003233167781999801,0.02774401965076284,95.78999999999999,3.67,0.33499999999999996,0.16999999999999998
15119,0,0.026172634351288644,0.002849281996613783,0.010237035179030539,0.004009374804038377,0.10815121966514077,0,0.12270332977989591,0.005698563993227566,0,0.07796921050981376,0.001160092807424594,0.014877406408728915,0.5902912773562425,0,0.035880573148554584,99.02,0.98,0,0
15120,0.0011122742737503272,0.023707331663364115,4.1019597068482356e-4,0.010924785305198323,0.009986079725524531,0.09306033886869294,0,0.11738230151436241,0.0025242344066406927,1.484843768612172e-4,0.1401804027576229,0.020563727642569782,0.008000527770556315,0.54279095416917,0.0022876071300324055,0.026920754424969197,94.87,4.6899999999999995,0.28500000000000003,0.13
15121,2.71044952527931e-4,0.022023745870994444,0.0023816833053670857,0.012371362157654456,0.013103875121462803,0.13999654973361275,2.6678049301035108e-5,0.09007829230687739,0.0016582028069171138,2.6678049301035108e-5,0.17210379256628133,0.019650893612456446,0.014139551038362378,0.47080411507168696,0.010232165298917083,0.031131370058279758,90.595,6.705,1.655,0.7949999999999999
